K,Time,Predicted Time
40,0.0154292,0.0170685
40,0.0143204,0.0170685
40,0.0129248,0.0170685
40,0.014332,0.0170685
40,0.0131544,0.0170685
60,0.0231532,0.0257119
60,0.0244568,0.0257119
60,0.0220764,0.0257119
60,0.0252744,0.0257119
60,0.0216232,0.0257119
80,0.0319876,0.034355
80,0.0349016,0.034355
80,0.0388376,0.034355
80,0.035456,0.034355
80,0.031254,0.034355
100,0.0434808,0.0429981
100,0.0431932,0.0429981
100,0.0425124,0.0429981
100,0.0410892,0.0429981
100,0.041764,0.0429981
120,0.0520184,0.0516412
120,0.0609016,0.0516412
120,0.0568584,0.0516412
120,0.0548364,0.0516412
120,0.0564556,0.0516412
140,0.067858,0.0602842
140,0.0653176,0.0602842
140,0.0601132,0.0602842
140,0.0592552,0.0602842
140,0.0628712,0.0602842
160,0.07705,0.0689272
160,0.0771668,0.0689272
160,0.0699828,0.0689272
160,0.0790956,0.0689272
160,0.0784596,0.0689272
180,0.0890108,0.0775701
180,0.0840128,0.0775701
180,0.083528,0.0775701
180,0.0751412,0.0775701
180,0.0696872,0.0775701
200,0.0817996,0.0862131
200,0.0808124,0.0862131
200,0.0855452,0.0862131
200,0.083776,0.0862131
200,0.0803284,0.0862131
220,0.0906892,0.0948561
220,0.0914948,0.0948561
220,0.0923108,0.0948561
220,0.0913044,0.0948561
220,0.0906568,0.0948561
240,0.105915,0.103499
240,0.100318,0.103499
240,0.100016,0.103499
240,0.100407,0.103499
240,0.0975836,0.103499
260,0.109101,0.112142
260,0.10524,0.112142
260,0.108288,0.112142
260,0.106977,0.112142
260,0.105762,0.112142
280,0.117186,0.120785
280,0.112888,0.120785
280,0.116488,0.120785
280,0.115261,0.120785
280,0.112935,0.120785
300,0.134552,0.129428
300,0.134586,0.129428
300,0.131446,0.129428
300,0.131272,0.129428
300,0.132715,0.129428
320,0.145204,0.138071
320,0.14006,0.138071
320,0.142998,0.138071
320,0.15199,0.138071
320,0.148855,0.138071
340,0.156537,0.146714
340,0.155856,0.146714
340,0.153998,0.146714
340,0.154699,0.146714
340,0.154641,0.146714
360,0.164734,0.155357
360,0.16396,0.155357
360,0.162083,0.155357
360,0.162373,0.155357
360,0.162843,0.155357
380,0.172996,0.164
380,0.184363,0.164
380,0.179364,0.164
380,0.174177,0.164
380,0.179024,0.164
400,0.184326,0.172643
400,0.191711,0.172643
400,0.184389,0.172643
400,0.18401,0.172643
400,0.190096,0.172643
420,0.199366,0.181286
420,0.19286,0.181286
420,0.192499,0.181286
420,0.192875,0.181286
420,0.192286,0.181286
440,0.199198,0.189929
440,0.202941,0.189929
440,0.210134,0.189929
440,0.20628,0.189929
440,0.205915,0.189929
460,0.21433,0.198572
460,0.224885,0.198572
460,0.208484,0.198572
460,0.21211,0.198572
460,0.209444,0.198572
480,0.22753,0.207215
480,0.218814,0.207215
480,0.217831,0.207215
480,0.217196,0.207215
480,0.217717,0.207215
500,0.234435,0.215857
500,0.230175,0.215857
500,0.231491,0.215857
500,0.229816,0.215857
500,0.228371,0.215857
520,0.237832,0.2245
520,0.235328,0.2245
520,0.254962,0.2245
520,0.254941,0.2245
520,0.243744,0.2245
540,0.250434,0.233143
540,0.252745,0.233143
540,0.252341,0.233143
540,0.251496,0.233143
540,0.249299,0.233143
560,0.30901,0.241786
560,0.274716,0.241786
560,0.27397,0.241786
560,0.276502,0.241786
560,0.300434,0.241786
580,0.309188,0.250429
580,0.28707,0.250429
580,0.28495,0.250429
580,0.282127,0.250429
580,0.28213,0.250429
600,0.289984,0.259072
600,0.295271,0.259072
600,0.288756,0.259072
600,0.289266,0.259072
600,0.289692,0.259072
620,0.302217,0.267715
620,0.304047,0.267715
620,0.299356,0.267715
620,0.308958,0.267715
620,0.307205,0.267715
640,0.333491,0.276358
640,0.325382,0.276358
640,0.319312,0.276358
640,0.323608,0.276358
640,0.323078,0.276358
660,0.33266,0.285001
660,0.342845,0.285001
660,0.341309,0.285001
660,0.361563,0.285001
660,0.332716,0.285001
680,0.351642,0.293644
680,0.327416,0.293644
680,0.340602,0.293644
680,0.322354,0.293644
680,0.338616,0.293644
700,0.365664,0.302287
700,0.361104,0.302287
700,0.353094,0.302287
700,0.355351,0.302287
700,0.356228,0.302287
720,0.348006,0.31093
720,0.347083,0.31093
720,0.350265,0.31093
720,0.351284,0.31093
720,0.346674,0.31093
740,0.353344,0.319573
740,0.356756,0.319573
740,0.357458,0.319573
740,0.357327,0.319573
740,0.367968,0.319573
760,0.388293,0.328216
760,0.372592,0.328216
760,0.373609,0.328216
760,0.367156,0.328216
760,0.430056,0.328216
780,0.377593,0.336859
780,0.373692,0.336859
780,0.372195,0.336859
780,0.383652,0.336859
780,0.3748,0.336859
800,0.401347,0.345502
800,0.403856,0.345502
800,0.480778,0.345502
800,0.493635,0.345502
800,0.432184,0.345502
820,0.417422,0.354145
820,0.408181,0.354145
820,0.408812,0.354145
820,0.404951,0.354145
820,0.508703,0.354145
840,0.505551,0.362788
840,0.444918,0.362788
840,0.410672,0.362788
840,0.409908,0.362788
840,0.415721,0.362788
860,0.426924,0.371431
860,0.427417,0.371431
860,0.411662,0.371431
860,0.411791,0.371431
860,0.415761,0.371431
880,0.439545,0.380074
880,0.454539,0.380074
880,0.443592,0.380074
880,0.526714,0.380074
880,0.51161,0.380074
900,0.561357,0.388716
900,0.423226,0.388716
900,0.42682,0.388716
900,0.422633,0.388716
900,0.451394,0.388716
920,0.457842,0.397359
920,0.467261,0.397359
920,0.597034,0.397359
920,0.473505,0.397359
920,0.464543,0.397359
940,0.54291,0.406002
940,0.519209,0.406002
940,0.568722,0.406002
940,0.566449,0.406002
940,0.544757,0.406002
960,0.48035,0.414645
960,0.477987,0.414645
960,0.477839,0.414645
960,0.480193,0.414645
960,0.539316,0.414645
980,0.633199,0.423288
980,0.61902,0.423288
980,0.538039,0.423288
980,0.507851,0.423288
980,0.514745,0.423288
1000,0.494548,0.431931
1000,0.499316,0.431931
1000,0.605348,0.431931
1000,0.507384,0.431931
1000,0.500377,0.431931